iter	Passed	Remaining
605	5089	3308
606	5097	3300
607	5105	3291
608	5114	3283
609	5122	3274
610	5130	3266
611	5139	3258
612	5147	3249
613	5155	3241
614	5163	3232
615	5171	3223
616	5180	3215
617	5188	3207
618	5196	3198
619	5204	3189
620	5213	3181
621	5220	3172
622	5228	3164
623	5237	3155
624	5245	3147
625	5253	3138
626	5261	3130
627	5269	3121
628	5277	3112
629	5285	3104
630	5293	3095
631	5301	3086
632	5308	3078
633	5317	3069
634	5325	3061
635	5333	3052
636	5341	3043
637	5349	3035
638	5357	3026
639	5366	3018
640	5373	3009
641	5381	3001
642	5389	2992
643	5397	2983
644	5405	2975
645	5414	2967
646	5422	2958
647	5431	2950
648	5439	2941
649	5448	2933
650	5456	2925
651	5464	2916
652	5472	2908
653	5481	2899
654	5489	2891
655	5497	2883
656	5506	2874
657	5515	2866
658	5523	2858
659	5532	2849
660	5540	2841
661	5548	2833
662	5556	2824
663	5565	2816
664	5573	2807
665	5581	2799
666	5590	2790
667	5598	2782
668	5607	2774
669	5616	2766
670	5624	2757
671	5632	2749
672	5641	2740
673	5648	2732
674	5657	2723
675	5665	2715
676	5673	2706
677	5681	2698
678	5690	2690
679	5699	2682
680	5708	2674
681	5716	2665
682	5725	2657
683	5733	2648
684	5741	2640
685	5749	2631
686	5758	2623
687	5765	2614
688	5774	2606
689	5783	2598
690	5791	2590
691	5799	2581
692	5808	2573
693	5816	2564
694	5825	2556
695	5833	2548
696	5842	2539
697	5850	2531
698	5858	2522
699	5867	2514
700	5875	2506
701	5884	2497
702	5892	2489
703	5900	2481
704	5909	2472
705	5917	2464
706	5925	2455
707	5934	2447
708	5942	2439
709	5950	2430
710	5958	2422
711	5967	2413
712	5975	2405
713	5984	2397
714	5992	2388
715	6001	2380
716	6010	2372
717	6019	2364
718	6027	2355
719	6035	2347
720	6043	2338
721	6052	2330
722	6060	2321
723	6068	2313
724	6077	2305
725	6085	2296
726	6093	2288
727	6102	2279
728	6110	2271
729	6119	2263
730	6127	2254
731	6135	2246
732	6144	2238
733	6152	2229
734	6160	2221
735	6169	2212
736	6177	2204
737	6185	2196
738	6194	2187
739	6202	2179
740	6210	2170
741	6219	2162
742	6227	2154
743	6236	2145
744	6244	2137
745	6253	2129
746	6261	2120
747	6269	2112
748	6278	2103
749	6286	2095
750	6294	2087
751	6303	2078
752	6311	2070
753	6319	2061
754	6328	2053
755	6336	2045
756	6344	2036
757	6352	2028
758	6361	2019
759	6369	2011
760	6378	2003
761	6386	1994
762	6394	1986
763	6403	1977
764	6411	1969
765	6420	1961
766	6428	1952
767	6437	1944
768	6445	1936
769	6454	1927
770	6462	1919
771	6470	1911
772	6478	1902
773	6486	1894
774	6495	1885
775	6503	1877
776	6512	1868
777	6519	1860
778	6528	1852
779	6536	1843
780	6545	1835
781	6553	1826
782	6561	1818
783	6569	1809
784	6577	1801
785	6586	1793
786	6594	1784
787	6602	1776
788	6610	1767
789	6619	1759
790	6627	1751
791	6635	1742
792	6643	1734
793	6651	1725
794	6660	1717
795	6668	1709
796	6677	1700
797	6686	1692
798	6694	1684
799	6702	1675
800	6711	1667
801	6719	1658
802	6727	1650
803	6735	1641
804	6743	1633
805	6751	1625
806	6759	1616
807	6767	1608
808	6776	1599
809	6784	1591
810	6793	1583
811	6801	1574
812	6809	1566
813	6817	1557
814	6826	1549
815	6835	1541
816	6843	1532
817	6851	1524
818	6859	1516
819	6867	1507
820	6876	1499
821	6884	1490
822	6892	1482
823	6901	1474
824	6909	1465
825	6917	1457
826	6925	1448
827	6934	1440
828	6942	1431
829	6950	1423
830	6958	1415
831	6973	1408
832	6981	1399
833	6989	1391
834	6997	1382
835	7006	1374
836	7015	1366
837	7024	1357
838	7033	1349
839	7041	1341
840	7049	1332
841	7057	1324
842	7066	1315
843	7074	1307
844	7082	1299
845	7091	1290
846	7099	1282
847	7107	1274
848	7116	1265
849	7124	1257
850	7132	1248
851	7140	1240
852	7149	1232
853	7157	1223
854	7166	1215
855	7174	1206
856	7182	1198
857	7190	1190
858	7198	1181
859	7206	1173
860	7214	1164
861	7222	1156
862	7231	1148
863	7239	1139
864	7248	1131
865	7256	1122
866	7264	1114
867	7272	1105
868	7282	1097
869	7290	1089
870	7298	1081
871	7306	1072
872	7315	1064
873	7324	1055
874	7332	1047
875	7340	1039
876	7349	1030
877	7357	1022
878	7365	1013
879	7373	1005
880	7382	997
881	7390	988
882	7398	980
883	7406	971
884	7415	963
885	7423	955
886	7432	946
887	7439	938
888	7449	930
889	7457	921
890	7465	913
891	7473	904
892	7481	896
893	7489	888
894	7498	879
895	7506	871
896	7515	862
897	7523	854
898	7531	846
899	7539	837
900	7547	829
901	7555	820
902	7564	812
903	7573	804
904	7582	795
905	7592	787
906	7601	779
907	7612	771
908	7622	763
909	7632	754
910	7641	746
911	7650	738
912	7659	729
913	7669	721
914	7678	713
915	7688	705
916	7697	696
917	7707	688
918	7717	680
919	7727	671
920	7736	663
921	7746	655
922	7756	647
923	7766	638
924	7775	630
925	7785	622
926	7794	613
927	7804	605
928	7814	597
929	7824	588
930	7833	580
931	7843	572
932	7852	563
933	7861	555
934	7871	547
935	7880	538
936	7888	530
937	7896	521
938	7904	513
939	7912	505
940	7921	496
941	7929	488
942	7937	479
943	7945	471
944	7954	462
945	7962	454
946	7971	446
947	7979	437
948	7988	429
949	7997	420
950	8006	412
951	8014	404
952	8022	395
953	8030	387
954	8038	378
955	8046	370
956	8055	361
957	8063	353
958	8071	345
959	8079	336
960	8088	328
961	8096	319
962	8104	311
963	8111	302
964	8120	294
965	8128	286
966	8136	277
967	8144	269
968	8152	260
969	8160	252
970	8168	243
971	8176	235
972	8184	227
973	8192	218
974	8201	210
975	8209	201
976	8217	193
977	8225	185
978	8234	176
979	8242	168
980	8251	159
981	8259	151
982	8267	142
983	8275	134
984	8284	126
985	8292	117
986	8300	109
987	8309	100
988	8317	92
989	8325	84
990	8334	75
991	8342	67
992	8350	58
993	8359	50
994	8367	42
995	8376	33
996	8384	25
997	8393	16
998	8401	8
999	8409	0
