iter	Logloss
0	0.6918615137
1	0.6902148344
2	0.6889423028
3	0.6879367681
4	0.6866423743
5	0.6857548715
6	0.6849975616
7	0.684241313
8	0.6832687213
9	0.6824632423
10	0.6815049215
11	0.6807434602
12	0.6801331362
13	0.6796233208
14	0.6790375246
15	0.6786057312
16	0.6778864772
17	0.6774187942
18	0.6769230062
19	0.676235684
20	0.6757647173
21	0.6751615725
22	0.6745943485
23	0.6742176538
24	0.673874645
25	0.6734164323
26	0.6730427903
27	0.6728073569
28	0.6722673514
29	0.6718369876
30	0.6715272778
31	0.671226982
32	0.670895435
33	0.6705755494
34	0.6702480352
35	0.6699199966
36	0.6695740163
37	0.6692004055
38	0.6687154612
39	0.6685073586
40	0.6682795538
41	0.6680724314
42	0.6679298716
43	0.6676643605
44	0.6673175499
45	0.6669283384
46	0.6665576867
47	0.666338266
48	0.6661208866
49	0.6658904162
50	0.6655134593
51	0.665281578
52	0.665111163
53	0.6648955691
54	0.664621031
55	0.6644163994
56	0.664230958
57	0.6640388119
58	0.6638869629
59	0.663595176
60	0.6634312285
61	0.6632803471
62	0.6631095013
63	0.6628949812
64	0.6625945044
65	0.6624620516
66	0.6621792731
67	0.662009757
68	0.6617999002
69	0.6615771209
70	0.6613854305
71	0.6610898168
72	0.6609600297
73	0.6608163525
74	0.6606613821
75	0.6603974691
76	0.6601621668
77	0.6599952665
78	0.6598101373
79	0.6596286663
80	0.6594509036
81	0.6592485318
82	0.659070663
83	0.6588659377
84	0.6587023148
85	0.6585101875
86	0.6583877294
87	0.6582360426
88	0.6580661021
89	0.6579055444
90	0.6577656378
91	0.6575859085
92	0.6574493855
93	0.6572498542
94	0.6570895525
95	0.6569622687
96	0.6568197714
97	0.6566281122
98	0.6564396868
99	0.6562881187
100	0.6561255384
101	0.6559902295
102	0.6557950776
103	0.6555466717
104	0.6554627096
105	0.6552838513
106	0.655165838
107	0.6549257131
108	0.6547313415
109	0.654584674
110	0.6544004656
111	0.6542846217
112	0.6541643673
113	0.6540011564
114	0.6538579817
115	0.6537476315
116	0.6536079746
117	0.6535275459
118	0.6533955364
119	0.6532685242
120	0.6531539257
121	0.6530478861
122	0.6529219071
123	0.6527960873
124	0.6526231034
125	0.6524806497
126	0.6523440736
127	0.6522288197
128	0.6520505637
129	0.6519537353
130	0.6518285803
131	0.6517052077
132	0.6515834675
133	0.6513991249
134	0.6513371124
135	0.6512141923
136	0.6511375062
137	0.6510057214
138	0.6508582985
139	0.6507438124
140	0.6506535701
141	0.650520696
142	0.6503341122
143	0.650192829
144	0.6499218805
145	0.649815432
146	0.6496294663
147	0.6494822462
148	0.6493428234
149	0.6492634841
150	0.6491693026
151	0.6490826
152	0.6489433052
153	0.6487705023
154	0.6486214438
155	0.6484749229
156	0.6483496993
157	0.6482468747
158	0.6481147903
159	0.6478990465
160	0.6478190393
161	0.6476962128
162	0.6474677963
163	0.6473509629
164	0.6472386525
165	0.6470750639
166	0.6469624444
167	0.6467975012
168	0.6466763072
169	0.6464845388
170	0.64634928
171	0.6462509814
172	0.6461698941
173	0.6460734184
174	0.6459655403
175	0.645826567
176	0.6457463443
177	0.6456207211
178	0.6454832554
179	0.6454075869
180	0.6452159839
181	0.6450693757
182	0.6449350095
183	0.6448727566
184	0.6447514222
185	0.6446283399
186	0.6445426486
187	0.6444258402
188	0.6442822066
189	0.6441232689
190	0.6439759397
191	0.6438275273
192	0.6436194247
193	0.6434707095
194	0.6433646449
195	0.64327076
196	0.6431638838
197	0.6430201067
198	0.6428579758
199	0.6427294841
200	0.6426396195
201	0.6425271748
202	0.6424770547
203	0.6423975313
204	0.6422770834
205	0.642152459
206	0.6419693431
207	0.6417723901
208	0.6416187681
209	0.6415188589
210	0.6414428002
211	0.6413263788
212	0.6412776228
213	0.6411226274
214	0.641007258
215	0.640846666
216	0.6407832457
217	0.6406912117
218	0.6405949483
219	0.6404231536
220	0.6402389046
221	0.640129341
222	0.6400409185
223	0.6398519718
224	0.6397818343
225	0.6396773179
226	0.6395210241
227	0.6393914773
228	0.639290023
229	0.6391720753
230	0.6390540277
231	0.638930961
232	0.6387656619
233	0.6386445866
234	0.6385101455
235	0.6384187264
236	0.6383285466
237	0.6381749683
238	0.6380844576
239	0.6379375934
240	0.6378205103
241	0.6376765365
242	0.6375633052
243	0.6372493503
244	0.6371422057
245	0.6370003857
246	0.6368020936
247	0.6366778033
248	0.63656303
249	0.6364262448
250	0.6363256301
251	0.6361503894
252	0.6358826372
253	0.6357492418
254	0.6356238964
255	0.635509966
256	0.6353902172
257	0.6352574461
258	0.635123492
259	0.6349682437
260	0.6348475867
261	0.6347010346
262	0.6345922264
263	0.6344041911
264	0.6342250144
265	0.6340686675
266	0.6339017765
267	0.6337849962
268	0.6336175371
269	0.6334370088
270	0.6333221856
271	0.6331566119
272	0.6330303738
273	0.6328936884
274	0.6327006247
275	0.6325700135
276	0.6324272352
277	0.6322640993
278	0.6321162363
279	0.6319752122
280	0.6318005333
281	0.6316453476
282	0.6314394237
283	0.6312971386
284	0.6311927907
285	0.6310457955
286	0.6308858964
287	0.630650669
288	0.6304837655
289	0.6303388179
290	0.6302485194
291	0.6300295637
292	0.6299193196
293	0.6297313187
294	0.6296126063
295	0.6294296371
296	0.6292245997
297	0.6290485475
298	0.6289528739
299	0.6287763473
300	0.6286282002
301	0.628435717
302	0.6282326273
303	0.628082417
304	0.6279605146
305	0.6278198526
306	0.627690774
307	0.6274389346
308	0.627267655
309	0.6270633729
310	0.6269029869
311	0.6266513036
312	0.6265176179
313	0.6263486231
314	0.6261220232
315	0.6259709046
316	0.6257290005
317	0.625589612
318	0.6254551772
319	0.6253230584
320	0.6250827619
321	0.6249543763
322	0.6247180346
323	0.6245570992
324	0.6243440024
325	0.6241752448
326	0.623995191
327	0.6238411944
328	0.6236996304
329	0.6234766887
330	0.6233255139
331	0.6231593159
332	0.6229825457
333	0.6228244883
334	0.6226878404
335	0.622551027
336	0.6224158587
337	0.6222384549
338	0.6219901988
339	0.6218089526
340	0.6215306283
341	0.6213758607
342	0.6211461051
343	0.6210010732
344	0.6208246183
345	0.6206880172
346	0.6204861012
347	0.6203638273
348	0.62020341
349	0.6200773155
350	0.6198953264
351	0.6196863436
352	0.6195493555
353	0.6193516845
354	0.6192013026
355	0.6190191387
356	0.6188779398
357	0.6186313318
358	0.6185175043
359	0.6184058025
360	0.6182472207
361	0.6180656342
362	0.6179225344
363	0.6177043498
364	0.6174555818
365	0.6172692446
366	0.6171357087
367	0.6169632555
368	0.6168170187
369	0.6166170098
370	0.6164081675
371	0.6161609664
372	0.6160075754
373	0.6157420894
374	0.6156112597
375	0.6153864265
376	0.6151701396
377	0.6150025651
378	0.6147956424
379	0.6146292508
380	0.6144631683
381	0.6142495627
382	0.6140707761
383	0.6139203848
384	0.6137467079
385	0.6136011329
386	0.6134919094
387	0.6133286268
388	0.6131399954
389	0.6130071649
390	0.6127565554
391	0.6125415545
392	0.6123663606
393	0.612200069
394	0.612094535
395	0.6119701167
396	0.6118448306
397	0.6116855964
398	0.6115427775
399	0.6114067071
400	0.6112247867
401	0.6110786997
402	0.6109003814
403	0.6106950849
404	0.6105462854
405	0.6103319338
406	0.6101419478
407	0.6099054031
408	0.6097811846
409	0.6096013118
410	0.6094033256
411	0.6092236244
412	0.6090549668
413	0.6088936849
414	0.6087431094
415	0.608584718
416	0.6084023605
417	0.6081507615
418	0.6079851253
419	0.6078645806
420	0.6076881257
421	0.6075730528
422	0.6073939479
423	0.6072820775
424	0.6071488038
425	0.6070056822
426	0.6068431767
427	0.6066992872
428	0.6065424253
429	0.6064050969
430	0.6062354935
431	0.606079571
432	0.6059473898
433	0.6057278005
434	0.6055674769
435	0.6054372685
436	0.6053128127
437	0.6051410742
438	0.6050016077
439	0.6048688709
440	0.6047066495
441	0.6045418748
442	0.6043948889
443	0.6042054054
444	0.604012248
445	0.6038411244
446	0.6036832854
447	0.6035339866
448	0.6033907962
449	0.6032485455
450	0.6030844887
451	0.6029599861
452	0.6028340477
453	0.6026543403
454	0.602498858
455	0.6023520656
456	0.6022193818
457	0.6020206059
458	0.6018844106
459	0.6017394255
460	0.6015938224
461	0.6014292288
462	0.6012364927
463	0.6010261146
464	0.6008491291
465	0.6006972239
466	0.6005578698
467	0.6004480814
468	0.6002616505
469	0.6000937794
470	0.599936109
471	0.5997610057
472	0.599654629
473	0.5995216955
474	0.599409513
475	0.5992654362
476	0.5991043823
477	0.5989772296
478	0.5988257489
479	0.5986586769
480	0.5984500031
481	0.5982721498
482	0.5980735518
483	0.5978866091
484	0.5977303901
485	0.5975916041
486	0.5974873218
487	0.5973560583
488	0.597203251
489	0.5970226446
490	0.5968855317
491	0.5967215935
492	0.5965335552
493	0.5963758754
494	0.596186061
495	0.5960660813
496	0.5958954041
497	0.5956899172
498	0.5955723534
499	0.5954311951
500	0.5952385621
501	0.5950933179
502	0.5949300883
503	0.594764218
504	0.5945004706
505	0.5944205476
506	0.5941918189
507	0.5940520152
508	0.5939179425
509	0.5937921726
510	0.5936644675
511	0.5934626919
512	0.593331828
513	0.5931699031
514	0.5930171676
515	0.5929255144
516	0.5927664488
517	0.5926730976
518	0.5925294203
519	0.5924208305
520	0.5922576353
521	0.5921038479
522	0.5919308483
523	0.5918249117
524	0.5916288608
525	0.5914553556
526	0.5912360909
527	0.5910921328
528	0.5909866332
529	0.5907387267
530	0.5905928894
531	0.5904182231
532	0.5902998665
533	0.590154588
534	0.5899347334
535	0.5897715506
536	0.5895480003
537	0.5894088022
538	0.589287986
539	0.5891090465
540	0.5889363653
541	0.5887840699
542	0.5886436233
543	0.5885347932
544	0.5883987914
545	0.5882220337
546	0.5880067114
547	0.5878386405
548	0.5877562111
549	0.5875832084
550	0.5873870482
551	0.5872697311
552	0.5871173545
553	0.586966342
554	0.5867928618
555	0.5866578214
556	0.5864955001
557	0.5863538331
558	0.5862442756
559	0.5860942589
560	0.5859408429
561	0.5858116957
562	0.585670965
563	0.5855262577
564	0.5853408351
565	0.5851831366
566	0.5850354733
567	0.5849056488
568	0.5847277861
569	0.5846014232
570	0.5843713679
571	0.5842458634
572	0.5841305907
573	0.5839464478
574	0.5838161426
575	0.5836821291
576	0.5835815769
577	0.5834286167
578	0.5832393953
579	0.5831217535
580	0.5829618732
581	0.5828209303
582	0.5827126994
583	0.5826039255
584	0.5824250952
585	0.5823252952
586	0.5821140213
587	0.5818600687
588	0.5816012624
589	0.5814376364
590	0.581222133
591	0.5810960884
592	0.5809739175
593	0.5808620315
594	0.5807175302
595	0.5805157422
